DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
3, iterativefit, central, 1, 0.0, 2.5, 20.0, 10000, -15, 1.1, 1.0
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0, 0.0785, 1.34449386597
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.0785, 0.174, 64.017228762*(x-0.0785)*(x-0.0785)*(x-0.0785)-20.2791112839*(x-0.0785)*(x-0.0785)+0.0*(x-0.0785)+1.3444938659667969
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.174, 0.2135, 2230.23597503*(x-0.174)*(x-0.174)*(x-0.174)-128.668633756*(x-0.174)*(x-0.174)-2.12175086338*(x-0.174)+1.215301275253296
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.2135, 0.2615, 241.055346023*(x-0.2135)*(x-0.2135)*(x-0.2135)+1.88772227391*(x-0.2135)*(x-0.2135)-1.84739589*(x-0.2135)+1.0681860446929932
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.2615, 0.318, -22.5491050045*(x-0.2615)*(x-0.2615)*(x-0.2615)+5.47477718757*(x-0.2615)*(x-0.2615)+0.0*(x-0.2615)+1.0105191469192505
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.318, 0.3795, -645.124496535*(x-0.318)*(x-0.318)*(x-0.318)+56.23872927*(x-0.318)*(x-0.318)+0.402702680844*(x-0.318)+1.0239289999008179
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.3795, 0.4415, 1387.60617419*(x-0.3795)*(x-0.3795)*(x-0.3795)-129.047374199*(x-0.3795)*(x-0.3795)+0.0*(x-0.3795)+1.1113427877426147
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.4415, 0.505, -189.744307572*(x-0.4415)*(x-0.4415)*(x-0.4415)+18.0731452962*(x-0.4415)*(x-0.4415)+0.0*(x-0.4415)+0.9459900856018066
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.505, 0.5705, 497.144550726*(x-0.505)*(x-0.505)*(x-0.505)-48.8444521088*(x-0.505)*(x-0.505)+0.0*(x-0.505)+0.9702818989753723
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.5705, 0.637, -234.750339034*(x-0.5705)*(x-0.5705)*(x-0.5705)+23.4163463186*(x-0.5705)*(x-0.5705)+0.0*(x-0.5705)+0.9004302620887756
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.637, 0.703, 194.127893983*(x-0.637)*(x-0.637)*(x-0.637)-20.4773164441*(x-0.637)*(x-0.637)+0.0*(x-0.637)+0.9349479079246521
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.703, 0.769, 7.49372145922*(x-0.703)*(x-0.703)*(x-0.703)+0.516776515327*(x-0.703)*(x-0.703)-0.166142452052*(x-0.703)+0.9015597105026245
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.769, 0.835, -368.298388789*(x-0.769)*(x-0.769)*(x-0.769)+36.4615404901*(x-0.769)*(x-0.769)+0.0*(x-0.769)+0.8949998021125793
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.835, 0.901, 87.0902230143*(x-0.835)*(x-0.835)*(x-0.835)-15.1629161249*(x-0.835)*(x-0.835)+0.0*(x-0.835)+0.9479419589042664
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.901, 0.972, 29.9168826468*(x-0.901)*(x-0.901)*(x-0.901)-10.2002192565*(x-0.901)*(x-0.901)-0.86340989413*(x-0.901)+0.9069303870201111
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.972, 1.1, 0.80491656065
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0, 0.0735, 1.2024179697
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.0735, 0.1705, 1.20564438002*(x-0.0735)*(x-0.0735)*(x-0.0735)-0.732108298468*(x-0.0735)*(x-0.0735)-1.02500858383*(x-0.0735)+1.2024179697036743
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.1705, 0.221, 477.531585499*(x-0.1705)*(x-0.1705)*(x-0.1705)-24.9551377023*(x-0.1705)*(x-0.1705)-1.13300586982*(x-0.1705)+1.0972040891647339
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.221, 0.276, -1106.77809396*(x-0.221)*(x-0.221)*(x-0.221)+91.309192752*(x-0.221)*(x-0.221)+0.0*(x-0.221)+1.0378456115722656
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.276, 0.333, 37.9403613004*(x-0.276)*(x-0.276)*(x-0.276)-8.60015906736*(x-0.276)*(x-0.276)+0.0*(x-0.276)+1.129915714263916
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.333, 0.392, 893.339421758*(x-0.333)*(x-0.333)*(x-0.333)-73.8858487231*(x-0.333)*(x-0.333)-0.610613432084*(x-0.333)+1.1090000867843628
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.392, 0.453, -94.2436389794*(x-0.392)*(x-0.392)*(x-0.392)+11.1656923692*(x-0.392)*(x-0.392)+0.0*(x-0.392)+0.9992504119873047
