DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
3, iterativefit, central, 1, 0.0, 2.5, 20.0, 10000, -15, 1.1, 1.0
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0, 0.0665, 1.11020243168
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.0665, 0.1555, 131.894334562*(x-0.0665)*(x-0.0665)*(x-0.0665)-37.6821951766*(x-0.0665)*(x-0.0665)+3.57322566923*(x-0.0665)+1.110202431678772
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.1555, 0.1955, 1220.93402203*(x-0.1555)*(x-0.1555)*(x-0.1555)-100.899335883*(x-0.1555)*(x-0.1555)+0.0*(x-0.1555)+1.2227202653884888
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.1955, 0.243, 1117.73210991*(x-0.1955)*(x-0.1955)*(x-0.1955)-56.3598489898*(x-0.1955)*(x-0.1955)-2.21146356494*(x-0.1955)+1.1394211053848267
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.243, 0.3045, -401.042635525*(x-0.243)*(x-0.243)*(x-0.243)+43.2507169845*(x-0.243)*(x-0.243)+0.0*(x-0.243)+1.0270041227340698
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.3045, 0.369, -92.6919064984*(x-0.3045)*(x-0.3045)*(x-0.3045)+3.00431664787*(x-0.3045)*(x-0.3045)+0.769307664455*(x-0.3045)+1.0973032712936401
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.369, 0.4355, 1019.02426099*(x-0.369)*(x-0.369)*(x-0.369)-101.647670034*(x-0.369)*(x-0.369)+0.0*(x-0.369)+1.1345497369766235
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.4355, 0.5025, -741.637208139*(x-0.4355)*(x-0.4355)*(x-0.4355)+74.534539418*(x-0.4355)*(x-0.4355)+0.0*(x-0.4355)+0.9847126007080078
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.5025, 0.5695, 1112.55965754*(x-0.5025)*(x-0.5025)*(x-0.5025)-111.812245583*(x-0.5025)*(x-0.5025)+0.0*(x-0.5025)+1.0962411165237427
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.5695, 0.6365, -102.308789614*(x-0.5695)*(x-0.5695)*(x-0.5695)+14.4101253442*(x-0.5695)*(x-0.5695)+0.0*(x-0.5695)+0.9289327263832092
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.6365, 0.703, -150.591289303*(x-0.6365)*(x-0.6365)*(x-0.6365)+10.8623508344*(x-0.6365)*(x-0.6365)+0.553164326388*(x-0.6365)+0.9628490805625916
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.703, 0.769, 15.5455584259*(x-0.703)*(x-0.703)*(x-0.703)-3.7692709502*(x-0.703)*(x-0.703)+0.0*(x-0.703)+1.0033847093582153
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.769, 0.835, 293.817083122*(x-0.769)*(x-0.769)*(x-0.769)-26.857630563*(x-0.769)*(x-0.769)-0.294394407917*(x-0.769)+0.9914350509643555
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.835, 0.901, -152.560159049*(x-0.835)*(x-0.835)*(x-0.835)+15.1034557458*(x-0.835)*(x-0.835)+0.0*(x-0.835)+0.9394844174385071
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.901, 0.972, 105.638387954*(x-0.901)*(x-0.901)*(x-0.901)-28.1036683634*(x-0.901)*(x-0.901)+0.0*(x-0.901)+0.961414635181427
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.972, 1.1, 0.857553184032
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0, 0.068, 1.13422822952
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.068, 0.1565, 63.283180169*(x-0.068)*(x-0.068)*(x-0.068)-17.7311238366*(x-0.068)*(x-0.068)+1.65145985544*(x-0.068)+1.134228229522705
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.1565, 0.202, 711.317786332*(x-0.1565)*(x-0.1565)*(x-0.1565)-55.3889214033*(x-0.1565)*(x-0.1565)+0.0*(x-0.1565)+1.1853728294372559
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.202, 0.2545, -139.694650908*(x-0.202)*(x-0.202)*(x-0.202)+10.8736442409*(x-0.202)*(x-0.202)-0.622574906241*(x-0.202)+1.1377074718475342
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.2545, 0.312, 533.677862956*(x-0.2545)*(x-0.2545)*(x-0.2545)-40.4997817179*(x-0.2545)*(x-0.2545)-0.635942405638*(x-0.2545)+1.1147785186767578
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.312, 0.3735, -37.8401039586*(x-0.312)*(x-0.312)*(x-0.312)+6.10293882*(x-0.312)*(x-0.312)+0.0*(x-0.312)+1.0457665920257568
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.3735, 0.438, -175.900497327*(x-0.3735)*(x-0.3735)*(x-0.3735)+14.5276810601*(x-0.3735)*(x-0.3735)+0.321299275268*(x-0.3735)+1.0600475072860718
